text,label
"บ,ชเล,ข,วันที่,เลข,คณิตศาสตร์,เวลา,เลข,คณิตศาสตร์,เลขอะตอม_47,ใน,บช,ใช้ได้,คณิต,เลข,คณิต,บ",0
"แจก,โทรศัพท์มือถือ,เอา,ปีใหม่,ฟรี,เลข,เฉพาะ,คณิตศาสตร์,เดือนธันวาคม,แม็ท,บรรเลง,ฟรี,จุด,ทรู,ไอ,ถุงน้ำดี,คลิก,เลย,ลิงก์",0
"เชียร์,มันส์,ทะลุ,จอ,ซื้อ,เก่า,ลด,เลย,ตัวเลข,ตีน,เตรียมพร้อม,ดู,เข้ม,การสงคราม,แตกกระจาย,แข้ง,พรีเมียร์,ลีก,คณิต,แม็ท,ทั้ง,ซี,ชั่น,เสริม,เพียง,เลข,แม็ท,บาทา,ซึ่งมีจิตปกติ,แม็ท,คณิต,เท้า,สมัคร,ด่วน,ราคา,นี้,ถึง,แม็ท,กรกฎาคม,เลข,เพียง,คลิก,ลิงก์",0
"รับ,โค้ด,ส่ง,ฟรี,เลข,ใบ,เฉพาะ,คุณ,รีบ,ใช้,เลย,ยกเลิก,ข่าวสาร,เข้า,แอ,ปฯ,ฉัน,ตั้งค่า,บัญชี,ตั้งค่า,การ,แจ้ง,เตือน",0
"ทรู,พอยท์,แลก,ลุ้น,ร่ำรวย,แจก,ใหญ่,ที่ทำด้วยทอง,เลข,บาท,เริ่มที่,เลข,ทรู,พอยท์,แลก,ลุ้น,ได้,ไม่,จำกัด,ยิ่ง,ผ่านบอล,มาก,ยิ่ง,มีสิทธิ์,มากมาย,เลข,กรกฎาคม,คณิตศาสตร์,แม็ท,กันยายน,เลขที่,ทรู,ตัวไอ,ถุงน้ำดี,คลิก,ลิงก์",0
"พิเศษ,เฉพาะ,คุณ,เอา,ฟรี,เลข,ชิ้นส่วน,เมื่อ,ซื้อ,สินค้า,ใด,ใด,ที่,ร้านค้า,บู๊ทส์,ครบ,แม็ท,บาท,ใช้ได้,ถึง,วันที่,คณิตศาสตร์,พ.ย.,เลข,รายละเอียด,เพิ่มเติม,ลิงก์,โหลด,รับข้อเสนอ,เพิ่มเติม,จาก,บู๊ทส์,ลิงก์,เปลี่ยนแปลง,การ,ตอบรับ,ข้อมูลข่าวสาร,ส่งโทรเลข,หรือ,ลิงก์",0
"รับ,ประ,ก้น,ความ,คุ้ม,ประกันภัย,รถยนต์,หลักสูตรการเรียน,คณิตศาสตร์,ลด,เลย,เลข,แถม,ฟรี,เช็ค,ตรวจเช็ก,สภาพ,รถยนต์,เลข,บัญชีรายการ,และ,คูปอง,เงินสด,เลขที่,ออโต้,ว้น,ลิงก์",0
"รหัส,สำหรับ,ปิด,การใช้งาน,หรือ,ข้า,ย,อุปกรณ์,ยืนยัน,ตัวตน,ของ,คุณ,คือ,เลข",0
"แจก,อั่งเปา,รวมยอด,คณิต,ล้าน,ทรู,พอยท์,สุข,มั่งมี,จ่าย,จัด,เต็ม,ตลอดทั้ง,จันทร์,เอา,ฟรี,อั่งเปา,ตัวเลข,ทรู,พอยท์,ตั้งแต่,ตัวเลข,กุมภาพันธ์,คณิตศาสตร์,เลข,กุมภาพันธ์,เลข,คลิก,เอา,การเปิดรับ,ที่,ทรู,ไอ,พระปิตตะ,ลิงก์",0
"จำนวน,จำกัด,ส่วนลด,รายปี,เลข,บาทา,ปกติ,เลข,บาท,กรอก,โค้ด,ที่,โพรง,โค้ด,ส่วนลด,ร้านค้า,เก่า,ชำระเงิน,ตั้งแต่,แม็ท,คณิตศาสตร์,มกราคม,เลขที่,ลิงก์",0
"รับ,ชม,หนัง,และ,ชุด,เกาหลี,ฟรี,จาก,แพ็กเกจ,ได้,ตั้งแต่,วันที่,เลข,ตัวเลข,เลข,คณิต,คณิต,ยืนยัน,ได้รับ,การเปิดรับ,คลิก,ลิงก์,และ,เอาอย่าง,ขั้นตอน",0
"ซื้อ,แม็ท,ทุ,กรุ่น,กับ,เริ่มต้น,เท่านั้น,เลข,บ.,ต่อ,เตือน,โดยลำพัง,พิเศษ,ได้,ฟรี,มูลค่า,คณิตศาสตร์,บาทา,สิทธิพิเศษ,นี้,สำหรับ,ลูกค้า,เปิด,อารอน_เบอร์,ที่ยังไม่ใช้,ย้าย,ค่าย,หมายเลข,เดิม,และ,ผู้ซื้อสินค้าและบริการ,รายเดือน,ปัจจุบัน,ภายใน,วันที่,คณิต,มีนาคม,เลขที่,และ,ร้านค้า,ตัวแทนจำหน่าย,จุด,มีส่วน,รายการ",0
"คุณ,ได้,เลข,คะแนน,จาก,การ,ชำ,ระบิล,คุณ,มี,เลข,คะแนน,เลข,เลข,เลข,เช็ก,ที่,ลิงก์",0
"ประกัน,สุขภาพ,ราคา,เบาๆ,ๆ,เบี้ย,เริ่ม,เท่านั้น,แม็ท,บาท,24_ชั่วโมง,ลด,ทำให้เพิ่ม,อีก,ตัวเลข,กรอก,รหัส,ลิงก์",0
"เพิ่มเติม,เฉพาะ,คุณ,เพียง,โทร,รวบรวม,ครบ,คณิต,เท้า,ภายในประเทศ,วันที่,ตัวเลข,เลข,ตัวเลข,ไม่,คิดเป็น,การ,ซื้อ,แพ็กเกจ,เสริม,ได้,โบนัส,เงิน,ตอนกลางคืน,แม็ท,บาท,ใช้งาน,โทรศัพท์หา,ใน,เครือข่าย,เน็ต,และ,นาน,เลข,วัน",0
"ก่อน,สิ้นเดือน,รีบ,ดัน,แลก,ไซเบอร์สเปซ,เต็ม,วัน,ใช้,คณิตศาสตร์,ทรู,พอยท์,แลก,อินเทอร์เน็ต,แม็ท,คณิต,เลข,ว้น,แลก,ได้,ทุก,จันทร์,ทั้งปี,เลข,มกราคม,เลข,คณิตศาสตร์,ธันวาคม,ตัวเลข,ลิงก์",0
"ประกัน,อุบัติเหตุ,เจ็บ,ช่วย,จ่าย,เริ่ม,แค่,วัน,ละ,เลข,บาท,พร้อม,รับ,ส่วนลด,ทันที,เลข,บาท,คลิก,เลย,ลิงก์",0
"ลด,ฉ่ำ,ตาข่าย,เลข,คณิต,บ.,แม็ท,กลางวัน,จาก,เลข,บ.,ถึง,คณิตศาสตร์,เดือนกุมภาพันธ์,แม็ท,หรือ,เลข,เลข,พระบาท,ตัวเลข,วันที่,ลิงก์",0
"เอา,ไป,เลย,จอดรับ,ค่า,โทรเลข,ตีน,ลุ้น,กด,คณิตศาสตร์,สมัคร,บริการ,สุขภาพ,คณิตศาสตร์,บขค",0
"ของขวัญ,วันเกิด,เดือน,นี้,เฉพาะ,คุณ,ส่ง,ของ,ด่วน,ลด,เลข,ใส่,โค้ด,เลข",0
"ทรู,โบนัส,ส่งความสุข,แลก,เน็ต,โทร,ทรู,วิชั่นส์,ฟรี,รับ,สิทธิ์,ได้,ทุก,เดือน,เลข,มกราคม,เลข,เลข,ธันวาคม,เลข,กด,เลข,เลข,หรือ,ลิงก์",0
"เบิก,โอน,ใช้,ธาตุเงิน,จา,กบ,ชเล,ข,ผ่าน,แม็ท,คณิต,คณิตศาสตร์,บ,ใช้ได้,เลข,เลข,ใบ",0
"ใช้,เลข,ทรู,พอยท์,แลก,เน็ต,ไม่,อั้น,เลข,นาน,เลข,วัน,เชียร์,กัน,มันส์,สะใจ,ลี,เวอร์,พูล,ปะทะ,เวสต์,แฮม,ยู,ไน,เต็ต,เลข,เลข,กย,เลข,ลิงก์",0
"แลก,เลข,แต้ม,บน,เลข,อาจ,ได้,รางวัล,กระเป๋า,ร่วม,รัก,ได้,ทุกวัน,เปิด,เจอ,โค้ด,สถานที่,ใช่,ปั๊บ,ได้,เลย,ลิงก์",0
"สิทธิ,การ,รับ,โบนัส,เน็ต,ฟรี,เลข,ใช้ได้,เลข,วัน,จาก,แคมเปญ,จ่าย,ภายใน,กำหนด,ของ,คุณ,กำลังจะ,สิ่น,สุด,ลง,กรู,ณากด,รับ,สิทธิ,ที่,เลข,เลข,ภายใน,เลข,เลข,เลข,แล้ว,รอ,รับ,ยืนยัน,การใช้งาน",0
"ใช้,ทรู,พอยท์,เลือก,รับ,ฟรี,ที่,หรือ,แซนด์วิช,แสน,อร่อย,หรือ,เครื่องดื่ม,สุด,สดชื่น,ก็,แลก,แค่,เลข,ทรู,พอยท์,ตั้งแต่,เลข,เลข,มกราคม,เลขที่,ทรู,ไอ,ดี,คลิก,ลิงก์",0
"แจก,จุใจ,ส่งท้าย,เดือน,ฟรี,คณิต,เฉพาะ,คณิต,มกราคม,เลข,เล่นดนตรี,ฟรี,ที่,แอ,ป,ทรู,ตัวไอ,ดี,คลิก,ลิงก์",0
"รู้สึกเจ็บ,เล็ก,เจ็บ,หลัก,ประกัน,อุบัติเหตุ,ตุ้ม,ครอง,ให้,สูงสุด,แม็ท,หนึ่งล้าน,บาท,เบี้ยหมากฮอส,แค่,คณิตศาสตร์,พระบาท,วันที่,เพิ่มเติม,สมัคร,วันนี้,เอา,ส่วนลด,คณิต,บาท,ลิงก์",0
"คุ้ม,สุด,จ่าย,บิล,ทรู,วันนี้,จอดรับ,ในทันที,ทรู,พอยท์,เลข,เท่านั้น,แจก,ใบแจ้งราคาสินค้าที่ขายให้,เลข,เท้า,ขึ้นไป,ผ่าน,แอ,ป,ทรู,มัน,นี่,จ่าย,เลย",0
"เลข,รับ,เครดิต,เงิน,คืน,ทันที,สูงสุด,เลข,บาท,กับ,หรือ,ผ่อน,เลข,สูงสุด,เลข,เดือน,ถึง,เลข,กุมภาพันธ์,นี้,คลิก,ลิงก์,หรือ,ติดต่อ,ศูนย์,บริการ,ดีแทค,ใกล้,คุณ",0
"การห้าม,พลาด,ได้รับ,การเปิดรับ,เฉพาะ,อารอน_เบอร์,คุณ,ตาข่าย,เต็ม,สปีด,เลข,เลข,บาท,คณิต,กลางวัน,โทรเลข,ตัวเลข,หรือ,คลิก,ลิงก์,ถึง,เลข,กพ,นี้",0
"เลือด,วัตถุ,คุณ,เป็น,โลหิต,สถานที่,บรรจุ,คุณภาพ,และ,ได้,ส่ง,ต่อไป,ใช้งาน,บำบัด,คนไม่สบาย,แล้ว,บริจาค,เลือด,ฝ่า,ภาวะวิกฤต,โควิด,คณิตศาสตร์,ไป,ด้วยกัน,สอบถาม,ชุดข้อมูล,พิเศษ,เลข,ตัวเลข,เลข",0
"หน้าร้อน,แบบนี้,มา,เล่น,เน็ต,ฟินๆ,เพียง,ซื้อ,เน็ต,เลข,ใช้งาน,ได้,เลข,วัน,เพียง,เลข,บาท,เฉพาะที่,คลิก,ลิงก์",0
"มี,ทอง,รอ,ให้,ลุ้น,เริ่ม,เลข,ทรู,พอยท์,แลก,สิทธิ์,ลุ้น,มังกร,ทองคำ,หนัก,เลข,บาท,มูลค่า,เลข,เลข,บาท,เลข,มี,ค,เลข,เลข,พค,เลข,ลิงก์",0
"ดีล,พิเศษ,เฉพาะ,คุณ,มา,ช้อป,ที่,บิ๊กซี,เลข,เลข,เมษายน,เลข,ลด,ทันที,เลข,เมื่อ,ช้อป,ครบ,เลข,เลข",0
"ขอ,เชิญ,สนับสนุน,โครงการ,โฮม,กัน,มา,ทำนา,เปิด,ประสบการณ์,การ,เป็น,ชาวนา,และ,ได้,ทานข้าว,ดี,มี,คุณภาพ,เพิ่มเติม,ค,ลึก,ลิงก์",0
"ขอความร่วมมือ,กรอก,แบบ,สำรวจ,ความพึงพอใจ,ของ,ผู้บริจาค,โลหิต,ศูนย์,บริการ,โลหิต,แห่งชาติ,สภากาชาด,ไทย,ประจำปี,พศ,เลข,ลิงก์",0
"ชวน,ช้อป,ดีล,ด่วน,กลางเดือน,ไอ,ดีล,ช่วย,เปย์,เลข,ส่ง,ฟรี,ไม่,มี,ขั้นต่ำ,เฉพาะ,เลข,กันยายน,เลขที่,ทรู,ไอ,ดี,ช้อป,เลย,ลิงก์",0
"จัดส่ง,สำเร็จ,รายละเอียด,ลิงก์",0
"พบ,กับ,ของขวัญ,และ,ส่วนลด,สูงสุด,เลขที่,อีเว้นท์,ได้,แล้ว,ตั้งแต่,วันที่,เลข,พฤศจิกายน,เลข,พฤศจิกายน,เลข,ณ,ห้างสรรพสินค้า,เซ,นท,รัล,ลาดพร้าว",0
"จ่าย,บิล,ทรูมูฟ,เอช,ได้,ง่าย,และ,สะดวก,กว่า,ผ่าน,แอ,ป,ทรู,มัน,นี่,วอ,ลเล็ท,ฟรี,ค่าธรรมเนียม,คลิก,ลิงก์",0
"พิเศษ,สมาชิก,รับ,ส่วนลด,เลข,ชั้น,เลข,ถึง,เลข,พฤศจิกายน,นี้",0
"ตรวจเช็ก,ลูก,พรีเมียร์,ลีก,และ,บอล,อียู,สด,กว่า,คณิต,นัด,เท่านั้น,สมัคร,แพ็กเกจ,เริ่มต้น,เลข,บ.,เตือน,จุด,ทรู,ตัวไอ,ตัวดี,สมัคร,เลย,ลิงก์",0
"ปัง,สุด,ยับยั้ง,ไม่,อาศัย,เพียงแค่,เลข,บาท,ตาข่าย,เลข,ใช้ได้,คณิต,ชม,สมัคร,ภายใน,เลข,คณิต,กุมภาพันธ์,แม็ท,สมัคร,เลย,สถานที่,แอ,ป,คลิก,ลิงก์",0
"คุณ,สามารถ,เปลี่ยน,มา,ใช้,ง่ายๆ,ทำได้,ด้วยตัวเอง,ไม่,ว่า,จะ,เปลี่ยน,ซิม,การ์ด,เป็น,ใน,เครื่อง,เดิม,หรือ,โอนย้าย,ซิม,การ์ด,หรือ,จาก,เครื่อง,เดิม,ไป,เครื่อง,ใหม่,เพิ่มเติม,คลิก,ลิงก์",0
"สิ่งที่เป็นเส้น,ความเร็ว,การห้าม,ไม่โดน,เลข,ตัวเลข,ตั้งแต่,คณิตศาสตร์,คณิต,เมษายน,คณิต,เพียง,สมัคร,แล้ว,ตรวจดู,แม็ท,ทางสัญจร,ช่องโทรทัศน์,เลขที่,ทรู,ไอ,ตัวดี,คลี,ก,ลิงก์",0
"ส่ง,ของ,พัส,ดู,เอกสาร,ด่วน,ใส่,โค้ด,เลข,ลด,เลข,เลข,ไม่,มี,ขั้นต่ำ",0
"เปลี่ยน,เบอร์,เลข,รหัส,มีอายุ,คณิต,นาที,อย่า,เปิดเผย",0
"ช่วงทดลองงาน,อีกครั้ง,สุด,คุ้ม,ต่อ,จุด,เลข,จอดรับ,สูงสุด,คณิต,คะแนน,ต่อ,ที่,เลข,รับ,ส่วนลด,คณิตศาสตร์,บาท,เมื่อ,สมัคร,และ,ช้อป,ออนไลน์,ด้วย,บัตร,บาซิลลัส,เฟิสต์,ดิจิทัล,เอไอเอส,พอยท์,ตั้งแต่,วันที่,คณิต,สิงหาคม,ตัวเลข,ถึง,คณิตศาสตร์,ตุลาคม,เลข,สมัคร,บัตร,ฟรี,ส่วนย่อย,เสริม,คลิก,ลิงก์,งด,ดัน,เลข",0
"เพิ่มเติม,กว่า,ใคร,ที่,ทำให้เต็ม,เกม,ลด,ตัวเลข,ไม่,จำกัด,ส่วนลด,มากที่สุด,ใช้,รหัส,เลข,เลข,ห้าม,ไม่โดน,ลิงก์",0
"เลข,เลข,เลข,จัดส่ง,สำเร็จ,รายละเอียด,ลิงก์",0
"ควง,กลุ่มคน,เย้าหยอก,ฟรี,มี,เงินรางวัล,เล่นดนตรี,ได้,ทุกวัน,แจกจ่าย,มีน้ำหนัก,กว่า,ทำให้เต็ม,ทองคำ,ทรู,พอยท์,โทรศัพท์เคลื่อนที่,รุ่น,ตัง,ที่ทำด้วยเงิน,เข้า,ทรู,มัน,นี่,และ,อื่นๆ,เล่น,เลย,ลิงก์",0
"อวสาน,ยาว,นี้,ผู้ซื้อสินค้าและบริการ,อ,ลิ,อันซ์,อยุธยา,รับประกัน,อุบัติเหตุ,ไม่,บรรจุ,ค่าใช้จ่าย,คลิก,ติด,ลิงก์",0
"ทุก,ทริป,วางใจ,ด้วย,ประกัน,เดินทาง,เบี้ย,เริ่มต้น,แค่,ทริป,ละ,เลข,พระบาท,ได้,ส่วนลด,แม็ท,เพียง,กรอก,โค้ด,ลิงก์",0
