label,sms,change_sms,nltk,num_words
1,,,detached entri number wkli comp win fa cup final tkts number st may number text fa number receiv entri questionstd txt ratetc appli number list,25
0,Oh wow thats gay. Will firmware update help,oh wow that is gay will firmware update help,oh wow gay firmwar updat help,6
1,,,disengage entri number wkli comprehensive win fa cup final tkts number st may number text fa number receiv entri questionstd txt ratetc appli number number,25
1,,,free entri number wkli comp win fa cup final tkts number st may number schoolbook fa list receiv entri questionstd txt ratetc appli number number,25
1,,,free entri issue wkli comp win fa cup concluding tkts number st may number text fa number receiv entri questionstd txt ratetc appli number number,25
1,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION", number new mobiles from number must go txt nokia to no number collect yours todayfrom only moneysymbol number link number optout number number gbpmtmsg number txtauction,number new mobil number must go txt nokia number collect todayfrom moneysymbol number link number optout number number gbpmtmsg number txtauction,21
0,Still otside le..u come 2morrow maga..,still otside link come number morrow maga,still otsid link come number morrow maga,7
0,"Good afternoon, my boytoy ... How are you feeling today ? Better I hope? Are you being my good boy? Are you my obedient, slave? Do you please your Queen?",good afternoon my boytoy how are you feeling today better i hope are you being my good boy are you my obedient slave do you please your queen,good afternoon boytoy feel today well hope good boy obedi slave pleas queen,13
0,"I'm not sure, I was just checking out what was happening around the area",i am not sure i was just checking out what was happening around the area,sure check happen around area,5
1,,,free entri number wkli comp win fa cup final tkts number st may numeral text fa number receiv entri questionstd txt ratetc appli figure number,25
0,"The affidavit says  &lt;#&gt;  E Twiggs St, division g, courtroom  &lt;#&gt; , &lt;TIME&gt;  AM. I'll double check and text you again tomorrow",the affidavit says ltgt e twiggs st division g courtroom ltgt lttimegt am i will double check and text you again tomorrow,affidavit say ltgt e twigg st divis g courtroom ltgt lttimegt doubl check text tomorrow,15
0,"Hi, my love! How goes that day? Fuck, this morning I woke and dropped my cell on the way down the stairs but it seems alright ... *phews* I miss you !",hi my love how goes that day fuck this morning i woke and dropped my cell on the way down the stairs but it seems alright phews i miss you ,hi love go day fuck morn wake drop cell way stair seem alright phew miss,15
0,"Aight, see you in a bit",aight see you in a bit,aight see bit,3
0,I can't make it tonight,i cannot make it tonight,make tonight,2
1,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",will you meet you are dream partner soon is you are career off number a flyng start number find out free txt horo followed by you are star sign e g horo aries,meet dream partner soon career number flyng start number find free txt horo follow star sign e g horo ari,20
0,It should take about  &lt;#&gt;  min,it should take about ltgt min,take ltgt min,3
1,,,free entri figure wkli comp win fa cup final tkts number st may number text fa number receiv entri questionstd txt ratetc appli bit number,25
0,A little. Meds say take once every 8 hours. It's only been 5 but pain is back. So I took another. Hope I don't die,a little meds say take once every number hours it is only been number but pain is back so i took another hope i do not die,littl med say take everi number hour number pain back take anoth hope die,14
0,"Indians r poor but India is not a poor country. Says one of the swiss bank directors. He says that \ &lt;#&gt;  lac crore\"" of Indian money is deposited in swiss banks which can be used for 'taxless' budget for  &lt;#&gt;  yrs. Can give  &lt;#&gt;  crore jobs to all Indians. From any village to Delhi 4 lane roads. Forever free power suply to more than  &lt;#&gt;  social projects. Every citizen can get monthly  &lt;#&gt; /- for  &lt;#&gt;  yrs. No need of World Bank &amp; IMF loan. Think how our money is blocked by rich politicians. We have full rights against corrupt politicians. Itna forward karo ki pura INDIA padhe.g.m.\""""",indians r poor but india is not a poor country says one of the swiss bank directors he says that ltgt lac crore of indian money is deposited in swiss banks which can be used for taxless budget for ltgt yrs can give ltgt crore jobs to all indians from any village to delhi number lane roads forever free power suply to more than ltgt social projects every citizen can get monthly ltgt for ltgt yrs no need of world bank amp imf loan think how our money is blocked by rich politicians we have full rights against corrupt politicians itna forward karo ki pura india padhegm ,indian r poor india poor countri say one swiss bank director say ltgt lac crore indian money deposit swiss bank use taxless budget ltgt yr give ltgt crore job indian villag delhi number lane road forev free power supli ltgt social project everi citizen get month ltgt ltgt yr need world bank amp imf loan think money block rich politician full right corrupt politician itna forward karo ki pura india padhegm,71
